Date,Open,High,Low,Close,Volume,Name
2017-07-03,60.74,60.85,59.9,60.0,1637400,TMUS
2017-07-05,59.88,60.32,59.38,59.95,6285900,TMUS
2017-07-06,59.56,59.89,59.13,59.45,5596100,TMUS
2017-07-07,59.45,60.16,59.26,60.01,3266700,TMUS
2017-07-10,60.07,60.89,59.69,60.8,4361100,TMUS
2017-07-11,60.74,61.47,60.67,61.23,3263400,TMUS
2017-07-12,61.7,61.88,60.89,61.51,3055100,TMUS
2017-07-13,61.5,61.73,60.75,60.91,2416000,TMUS
2017-07-14,61.21,61.72,60.62,61.24,4904800,TMUS
2017-07-17,61.04,61.74,60.75,61.38,3312500,TMUS
2017-07-18,61.61,61.75,60.91,61.39,4499400,TMUS
2017-07-19,61.51,62.08,61.13,61.97,6824500,TMUS
2017-07-20,63.85,64.03,61.08,61.12,13594500,TMUS
2017-07-21,61.28,62.73,61.08,62.58,6980100,TMUS
2017-07-24,62.39,63.06,62.25,62.53,3706800,TMUS
2017-07-25,62.5,62.82,62.25,62.36,3985400,TMUS
2017-07-26,62.34,62.88,62.29,62.39,2756000,TMUS
2017-07-27,62.39,62.75,61.43,61.62,3206400,TMUS
2017-07-28,61.41,61.85,61.11,61.78,2809800,TMUS
2017-07-31,62.25,62.51,61.09,61.66,3989000,TMUS
2017-08-01,62.1,63.47,61.61,63.07,5531100,TMUS
2017-08-02,63.22,63.73,62.75,63.63,3658500,TMUS
2017-08-03,63.72,63.93,63.15,63.73,3527700,TMUS
2017-08-04,63.94,64.53,63.56,64.52,3563600,TMUS
2017-08-07,64.85,65.0,64.15,64.26,3637300,TMUS
2017-08-08,64.04,64.37,63.65,63.9,1880500,TMUS
2017-08-09,63.63,63.95,63.19,63.8,2145000,TMUS
2017-08-10,63.31,63.94,62.12,62.47,3092500,TMUS
2017-08-11,62.45,63.65,62.24,63.61,2464400,TMUS
2017-08-14,64.19,64.19,63.67,63.78,2455400,TMUS
2017-08-15,63.79,64.0,63.41,63.88,2654400,TMUS
2017-08-16,63.75,64.48,63.55,64.28,2034800,TMUS
2017-08-17,64.0,64.12,62.98,62.99,2459900,TMUS
2017-08-18,62.87,63.47,62.71,63.0,1419600,TMUS
2017-08-21,63.49,63.49,62.56,62.83,2141400,TMUS
2017-08-22,63.21,64.5,63.05,64.38,2432100,TMUS
2017-08-23,64.2,64.36,63.88,64.0,1721500,TMUS
2017-08-24,63.96,64.32,63.73,63.97,2115700,TMUS
2017-08-25,64.12,64.45,63.72,63.74,2316800,TMUS
2017-08-28,64.0,64.0,63.57,63.72,1200000,TMUS
2017-08-29,63.31,63.74,63.08,63.47,1266800,TMUS
2017-08-30,63.47,64.37,63.43,64.25,1437400,TMUS
2017-08-31,64.25,64.76,64.15,64.71,2777600,TMUS
2017-09-01,64.78,64.86,64.04,64.16,1496900,TMUS
2017-09-05,64.17,64.46,63.27,63.64,2168100,TMUS
2017-09-06,63.81,64.15,63.14,63.79,2774800,TMUS
2017-09-07,64.01,64.16,63.14,63.34,1785800,TMUS
2017-09-08,63.4,63.54,62.59,62.74,2236300,TMUS
2017-09-11,63.16,63.5,62.76,63.03,2263800,TMUS
2017-09-12,63.01,63.76,62.59,62.98,1504500,TMUS
2017-09-13,62.93,63.43,62.59,62.8,2410800,TMUS
2017-09-14,62.47,62.61,61.08,61.17,4864000,TMUS
2017-09-15,61.33,61.89,60.73,61.17,5597600,TMUS
2017-09-18,60.95,61.99,60.75,61.8,4757000,TMUS
2017-09-19,62.01,65.46,61.33,65.42,11735700,TMUS
2017-09-20,65.32,65.47,63.09,63.52,4549300,TMUS
2017-09-21,63.74,63.99,63.22,63.39,1961700,TMUS
2017-09-22,63.85,64.53,63.41,64.06,6631100,TMUS
2017-09-25,64.11,64.47,62.8,62.89,5985000,TMUS
2017-09-26,63.06,63.36,62.77,63.03,2949200,TMUS
2017-09-27,62.74,63.17,62.38,62.39,3848800,TMUS
2017-09-28,62.12,62.25,61.69,61.92,4341600,TMUS
2017-09-29,62.13,62.44,61.4,61.66,4975700,TMUS
2017-10-02,61.34,61.78,61.07,61.52,3516700,TMUS
2017-10-03,61.56,61.99,61.4,61.68,3966800,TMUS
2017-10-04,61.42,62.25,61.28,61.5,5695500,TMUS
2017-10-05,61.51,62.09,61.32,61.52,3944200,TMUS
2017-10-06,61.63,62.63,61.6,62.41,4124800,TMUS
2017-10-09,62.31,62.61,61.18,61.56,3148400,TMUS
2017-10-10,61.69,61.78,61.11,61.23,3251900,TMUS
2017-10-11,61.15,61.74,59.42,61.18,4411100,TMUS
2017-10-12,61.07,61.67,60.71,61.28,2506600,TMUS
2017-10-13,61.29,61.55,60.74,61.39,2389400,TMUS
2017-10-16,61.52,61.65,60.9,60.97,1489400,TMUS
2017-10-17,60.93,61.04,60.56,60.94,1318800,TMUS
2017-10-18,60.87,60.91,60.25,60.68,3115500,TMUS
2017-10-19,60.44,61.97,60.31,61.51,4448500,TMUS
2017-10-20,61.97,61.98,60.28,60.46,3795400,TMUS
2017-10-23,61.1,62.0,60.3,61.47,6758900,TMUS
2017-10-24,61.74,62.4,61.54,62.28,3645100,TMUS
2017-10-25,61.95,62.26,61.37,61.93,4066700,TMUS
2017-10-26,62.18,62.32,61.51,61.73,2838800,TMUS
2017-10-27,61.47,63.0,61.47,62.95,3084600,TMUS
2017-10-30,62.67,63.08,59.21,59.58,14267500,TMUS
2017-10-31,59.64,60.25,59.32,59.77,7361300,TMUS
2017-11-01,60.14,60.4,59.36,59.75,3352000,TMUS
2017-11-02,59.76,60.11,58.13,58.3,5884400,TMUS
2017-11-03,59.01,59.44,58.58,58.91,4097600,TMUS
2017-11-06,56.2,56.5,54.93,55.54,16985500,TMUS
2017-11-07,55.78,56.03,54.6,55.36,8785400,TMUS
2017-11-08,55.36,56.42,55.24,56.22,5981000,TMUS
2017-11-09,56.5,56.57,55.63,56.0,5205000,TMUS
2017-11-10,55.69,57.04,55.54,56.8,5758300,TMUS
2017-11-13,56.8,56.89,55.91,56.44,4429100,TMUS
2017-11-14,56.39,56.96,55.96,56.54,5035300,TMUS
